England Premier League,Spain LIGA BBVA,Netherlands Eredivisie,Scotland Premier League,Poland Ekstraklasa,Belgium Jupiler League,Switzerland Super League,Portugal Liga ZON Sagres,France Ligue 1,Italy Serie A,Germany 1. Bundesliga
263.25,10.67,10.2,11.915,0.0,0.0,1.02,2.55,19.09,25.080000000000002,0.0
124.23000000000002,66.32,0.0,0.0,0.0,0.0,0.0,1.02,29.75,69.28,0.638
0.0,0.0,13.988,2.55,0.0,7.449999999999999,0.0,3.4,0.0,0.0,3.4
0.515,0.0,0.0,0.051000000000000004,0.0,0.0,0.0,0.0,3.74,0.0,0.0
0.0,0.0,0.0,0.0,1.0380000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.7,0.0,0.0,2.826,0.0,0.0,0.659,0.0,0.0
0.0,0.85,0.0,0.0,0.0,0.0,0.311,0.0,0.0,0.0,3.61
0.0,18.82,0.0,0.68,0.298,0.0,0.0,9.817999999999998,0.0,0.0,0.0
2.98,6.21,1.4449999999999998,0.0,0.0,0.0,3.683,54.58,87.265,11.48,4.675
8.459999999999999,59.35,0.0,1.02,0.425,0.0,2.0,6.8100000000000005,1.7,194.34299999999996,31.068
1.955,23.459999999999997,27.130000000000003,0.0,0.0,0.404,7.268,3.4,9.1,11.899999999999999,54.746
